"Open";"High";"Low";"Close";"Volume";"Day"
"2009-10-28";0.460812356979405;0.488530898664453;0.443015821993643;0.468430930930931;28434250;2009-10-28
"2009-10-29";0.47094371175554;0.494972542346662;0.452250922509225;0.470425138632163;39372650;2009-10-29
"2009-10-30";0.472508150481703;0.504616227212268;0.449467013443716;0.480919612136378;27172400;2009-10-30
"2009-11-02";0.482984862258409;0.519062748212867;0.460412106574081;0.492291997279528;44030300;2009-11-02
"2009-11-03";0.496485061511424;0.514002056799304;0.479190530736922;0.500236705065488;25682750;2009-11-03
"2009-11-05";0.500934943513829;0.5192;0.486653771760155;0.49284332688588;33099450;2009-11-05
"2009-11-06";0.494785631517961;0.512379504819807;0.471919594905631;0.494417862838916;27635100;2009-11-06
"2009-11-09";0.49468778387772;0.508906354911331;0.474411909542028;0.487886255924171;35750950;2009-11-09
"2009-11-10";0.487518466608584;0.534611697027804;0.464853434446551;0.510897930679605;69515050;2009-11-10
"2009-11-11";0.512668981310482;0.53781449209762;0.498372513562387;0.524712254570075;60786650;2009-11-11
"2009-11-12";0.522733255612801;0.54360153256705;0.509177913193017;0.526834611171961;35775700;2009-11-12
"2009-11-13";0.524244392648351;0.539575327044758;0.519244652152437;0.532667179093005;21924000;2009-11-13
"2009-11-16";0.533921739459828;0.542591890867753;0.51411704312115;0.520718738540521;32037550;2009-11-16
"2009-11-17";0.517863720073665;0.529585356742622;0.505858806404658;0.513288247121184;30386350;2009-11-17
"2009-11-18";0.510385326421865;0.530832095096582;0.490179211469534;0.506505405900678;47154700;2009-11-18
"2009-11-19";0.5058944507694;0.526612751551627;0.482342210871945;0.49984962406015;31076550;2009-11-19
"2009-11-20";0.499572156702258;0.516212909146528;0.482765011119348;0.509125475285171;37026850;2009-11-20
"2009-11-23";0.508062404130345;0.520465640255351;0.486837360259647;0.494657039711191;32705650;2009-11-23
"2009-11-24";0.496503496503496;0.508047690014903;0.484024745269287;0.494254131553026;20504450;2009-11-24
"2009-11-25";0.494126178390138;0.510428715346442;0.476055326028382;0.494779411764706;24148800;2009-11-25
"2009-11-26";0.49665253291676;0.528466464971907;0.479646669120353;0.510154945439012;31670450;2009-11-26
"2009-11-27";0.512351072279587;0.890633074935401;0.470830159939071;0.518302225275774;61504000;2009-11-27
"2009-11-30";0.512349159806022;0.538742059446318;0.489588014981273;0.509154113557358;35844400;2009-11-30
"2009-12-01";0.507471198813733;0.52050193050193;0.489531221048731;0.5;25988450;2009-12-01
"2009-12-02";0.502165310236691;0.51523629489603;0.48426265590609;0.499533982030347;25878500;2009-12-02
"2009-12-03";0.500111127574456;0.530300148362308;0.495461254612546;0.520916296886259;37996550;2009-12-03
"2009-12-04";0.523481982498376;0.541895977056042;0.503740740740741;0.516337682614029;33755200;2009-12-04
"2009-12-07";0.512711385635193;0.529529298751201;0.501968211527035;0.511954887218045;24293850;2009-12-07
"2009-12-08";0.513059984813971;0.531548536209553;0.495776213412375;0.508703843255463;31748450;2009-12-08
"2009-12-09";0.508677529367184;0.521788990825688;0.498827296079818;0.509829124451837;19151350;2009-12-09
"2009-12-10";0.507838425449136;0.526682224815247;0.494419475655431;0.509071706084267;26667200;2009-12-10
"2009-12-11";0.507097112467698;0.5215;0.497430167597765;0.511139788211182;22568850;2009-12-11
"2009-12-14";0.508973682226077;0.522649818112196;0.505447032306536;0.514071436688004;12680350;2009-12-14
"2009-12-15";0.514455911367431;0.527501909854851;0.505440900562852;0.517414991546121;19132150;2009-12-15
